Wall time,Step,Value
1524658424.577464,1,8.028441429138184
1524658444.654046,16,5.941864967346191
1524658465.0002522,31,5.448431491851807
1524658485.0458937,46,5.408341884613037
1524658505.4790418,61,5.187297821044922
1524658525.843365,76,5.049452304840088
1524658546.0713885,91,4.953861713409424
1524658560.26567,97,4.978842258453369
1524658580.6033077,112,4.877138614654541
1524658600.7258313,127,4.7917890548706055
1524658620.8877828,142,4.818267345428467
1524658641.322736,157,4.6690144538879395
1524658661.943108,172,4.658941745758057
1524658682.559938,187,4.701042175292969
1524658694.7719433,193,4.594743251800537
1524658714.9842868,208,4.589562892913818
1524658735.4397275,223,4.594552993774414
1524658755.7712333,238,4.488485336303711
1524658775.8710563,253,4.5312066078186035
1524658796.5982769,268,4.496499538421631
1524658816.6856763,283,4.444751262664795
1524658829.018037,289,4.3394646644592285
1524658848.948583,304,4.356472492218018
1524658869.4236262,319,4.278468132019043
1524658889.627193,334,4.415717124938965
1524658910.0144866,349,4.331885814666748
1524658930.378743,364,4.251795291900635
1524658950.6270657,379,4.2120137214660645
1524658962.957446,385,4.284929275512695
1524658983.1813512,400,4.098788261413574
1524659003.4879222,415,4.1383185386657715
1524659023.8865168,430,4.216437816619873
1524659044.7455487,445,4.0674214363098145
1524659065.1292887,460,4.095997333526611
1524659085.5800705,475,4.1279144287109375
1524659097.839557,481,3.9254868030548096
1524659118.260284,496,4.131927013397217
1524659138.423114,511,3.8795642852783203
1524659158.6069033,526,3.9732825756073
1524659179.1833699,541,3.9583609104156494
1524659199.8552084,556,3.9268252849578857
1524659220.250201,571,3.786060094833374
1524659232.6346457,577,3.8146395683288574
1524659253.1137285,592,3.8561673164367676
1524659273.5844324,607,3.7524216175079346
1524659294.1394155,622,3.860219717025757
1524659314.6660109,637,3.8233256340026855
1524659335.1119118,652,3.730661392211914
1524659355.8408973,667,3.708625555038452
1524659367.8933604,673,3.4930975437164307
1524659388.615975,688,3.776165723800659
1524659409.1824417,703,3.5497055053710938
1524659429.7216327,718,3.7826786041259766
1524659450.4583876,733,3.6944448947906494
1524659471.149626,748,3.52478289604187
1524659491.9767058,763,3.6038336753845215
1524659504.5333068,769,3.5768308639526367
1524659524.989726,784,3.6475064754486084
1524659545.5617685,799,3.5769073963165283
1524659566.1438432,814,3.508492946624756
1524659586.7877889,829,3.455813407897949
1524659607.4580047,844,3.4239180088043213
1524659628.0146718,859,3.509716033935547
1524659640.9904172,865,3.3902833461761475
1524659661.679458,880,3.391829252243042
1524659682.049299,895,3.389195203781128
1524659702.861291,910,3.3519814014434814
1524659723.7185838,925,3.363724946975708
1524659744.4102943,940,3.197587490081787
1524659764.9763145,955,3.261420249938965
1524659777.4652674,961,3.3002705574035645
1524659798.1695864,976,3.4294300079345703
1524659818.8199942,991,3.235092878341675
1524659839.4059637,1006,3.3388984203338623
1524659860.376839,1021,3.136185646057129
1524659881.1318858,1036,3.3661303520202637
1524659901.970915,1051,3.344305992126465
1524659914.705902,1057,3.300257682800293
1524659935.7354052,1072,3.29036545753479
1524659956.441956,1087,3.265043020248413
1524659977.4493625,1102,3.2880024909973145
1524659998.097379,1117,3.2756786346435547
1524660018.6701012,1132,3.175082206726074
1524660039.2871058,1147,3.0186946392059326
1524660051.7275417,1153,3.1053578853607178
1524660073.0067532,1168,3.1685125827789307
1524660094.204743,1183,3.185187339782715
1524660115.174066,1198,3.146174430847168
1524660136.580898,1213,3.1522223949432373
1524660157.5286512,1228,3.2044241428375244
1524660178.4326723,1243,2.984792709350586
1524660190.74658,1249,3.158586263656616
1524660211.4791381,1264,3.192922353744507
1524660232.7947807,1279,3.0483272075653076
1524660253.7555223,1294,3.146819829940796
1524660274.5154176,1309,3.1255862712860107
1524660295.7339907,1324,3.1529288291931152
1524660316.8358216,1339,2.9259371757507324
1524660329.6179974,1345,2.8925113677978516
1524660350.683897,1360,2.9146265983581543
1524660371.8366904,1375,3.066307544708252
1524660392.7168167,1390,3.1754329204559326
1524660413.6002624,1405,3.0721864700317383
1524660434.4730287,1420,3.1011528968811035
1524660455.6365745,1435,2.973982572555542
1524660468.3601894,1441,2.9904959201812744
1524660489.3262415,1456,2.981566905975342
1524660510.679226,1471,2.987776756286621
1524660531.9057426,1486,3.0453410148620605
1524660553.1320515,1501,2.7597320079803467
1524660574.5371435,1516,3.0122153759002686
1524660595.406205,1531,2.9929497241973877
1524660608.7518837,1537,2.874372959136963
1524660629.9176867,1552,2.820525646209717
1524660650.9449644,1567,2.8712549209594727
1524660671.7163706,1582,2.9745030403137207
1524660692.9870336,1597,2.876371383666992
1524660713.7058873,1612,2.9903111457824707
1524660734.5410337,1627,2.7898402214050293
1524660747.3446891,1633,2.8024344444274902
1524660768.4647365,1648,2.838517189025879
1524660789.5024502,1663,2.9396626949310303
1524660810.6594517,1678,2.9124526977539062
1524660832.023322,1693,2.9206202030181885
1524660853.2841756,1708,2.8331637382507324
1524660874.386344,1723,2.8863604068756104
1524660887.3732593,1729,2.8414299488067627
1524660908.514938,1744,2.6319661140441895
1524660929.9651315,1759,2.9688665866851807
1524660951.1997464,1774,2.9274258613586426
1524660972.852464,1789,2.9620261192321777
1524660994.3127413,1804,2.848358392715454
1524661015.7846165,1819,2.7890682220458984
1524661029.3167183,1825,2.6869773864746094
1524661050.8163893,1840,2.73036527633667
1524661072.1035693,1855,2.8272886276245117
1524661093.842506,1870,2.837947368621826
1524661114.8163824,1885,2.748088836669922
1524661135.9872413,1900,2.7580809593200684
1524661157.3691542,1915,2.7670822143554688
1524661171.1042957,1921,2.5761542320251465
1524661192.1931098,1936,2.6906614303588867
1524661214.2289195,1951,2.762120246887207
1524661235.7665758,1966,2.727903366088867
1524661257.4471173,1981,2.7720015048980713
1524661279.1638732,1996,2.6571085453033447
1524661300.530544,2011,2.684075117111206
1524661314.1381214,2017,2.687659502029419
1524661335.7989995,2032,2.877007484436035
1524661357.039787,2047,2.6804158687591553
1524661378.6211877,2062,2.7728664875030518
1524661400.6158044,2077,2.518373489379883
1524661422.0576425,2092,2.751953601837158
1524661443.8384702,2107,2.74075984954834
1524661456.9410167,2113,2.7789952754974365
1524661478.5965736,2128,2.635084867477417
1524661500.1850903,2143,2.6740009784698486
1524661521.7284305,2158,2.6658689975738525
1524661543.3380518,2173,2.6438803672790527
1524661564.608971,2188,2.728160858154297
1524661586.407716,2203,2.678475856781006
1524661599.4812117,2209,2.548312187194824
1524661621.412072,2224,2.6166868209838867
1524661643.4619963,2239,2.6754746437072754
1524661665.1477284,2254,2.7565419673919678
1524661687.5365605,2269,2.7147486209869385
1524661709.7821925,2284,2.7169783115386963
1524661730.9779966,2299,2.6680891513824463
1524661744.1308076,2305,2.647620677947998
1524661765.6662421,2320,2.636528491973877
1524661786.9743862,2335,2.650641679763794
1524661809.2234786,2350,2.7180209159851074
1524661831.4048405,2365,2.583486795425415
1524661853.1728187,2380,2.5673811435699463
1524661874.705102,2395,2.6456680297851562
1524661888.191524,2401,2.6135103702545166
1524661909.878425,2416,2.4957633018493652
1524661931.5701122,2431,2.7254483699798584
1524661953.1490865,2446,2.6078481674194336
1524661974.9819117,2461,2.6649019718170166
1524661997.1663923,2476,2.7334046363830566
1524662018.7428987,2491,2.622976541519165
1524662032.634121,2497,2.4622132778167725
1524662054.4004064,2512,2.5078704357147217
1524662076.2699165,2527,2.635136604309082
1524662098.406144,2542,2.5754642486572266
1524662120.393432,2557,2.5314159393310547
1524662142.8214955,2572,2.7205913066864014
1524662165.113599,2587,2.67830491065979
1524662179.0312371,2593,2.643406867980957
1524662200.9222994,2608,2.5755577087402344
1524662223.0905428,2623,2.4833946228027344
1524662245.8282135,2638,2.4809887409210205
1524662268.1287494,2653,2.6039795875549316
1524662290.805584,2668,2.696408271789551
1524662313.273546,2683,2.5390937328338623
1524662326.7699664,2689,2.437439441680908
1524662348.4261312,2704,2.5943050384521484
1524662370.6025314,2719,2.34624981880188
1524662392.5685518,2734,2.4427177906036377
1524662415.5075219,2749,2.697091817855835
1524662437.792635,2764,2.425638198852539
1524662459.5164373,2779,2.5185227394104004
1524662473.6067016,2785,2.5224838256835938
1524662495.792056,2800,2.488128662109375
1524662517.6028452,2815,2.547198534011841
1524662539.676651,2830,2.6028037071228027
1524662561.9550698,2845,2.6146063804626465
1524662584.1993244,2860,2.475792407989502
1524662606.4021883,2875,2.5477864742279053
1524662620.7196648,2881,2.4536781311035156
1524662643.4342623,2896,2.397456169128418
1524662665.0206206,2911,2.436739683151245
1524662687.704411,2926,2.466749668121338
1524662709.8516438,2941,2.627596855163574
1524662731.8808947,2956,2.413339853286743
1524662754.3543367,2971,2.503903865814209
1524662769.0313911,2977,2.4367032051086426
1524662790.973716,2992,2.535835027694702
1524662813.4394863,3007,2.474241256713867
1524662835.3378813,3022,2.3309433460235596
1524662857.9795904,3037,2.4173080921173096
1524662879.8188696,3052,2.5397543907165527
1524662902.1457677,3067,2.5701615810394287
1524662915.7650025,3073,2.484825372695923
1524662938.5932095,3088,2.335507392883301
1524662960.7122672,3103,2.38667368888855
1524662982.606938,3118,2.443699359893799
1524663005.1883159,3133,2.6821959018707275
1524663027.3823526,3148,2.6072564125061035
1524663050.1018612,3163,2.4714691638946533
1524663063.5568233,3169,2.420767307281494
1524663085.3679378,3184,2.5078442096710205
1524663108.0837154,3199,2.478584051132202
1524663130.2355878,3214,2.5101826190948486
1524663153.138085,3229,2.527106761932373
1524663175.606111,3244,2.4501285552978516
1524663197.466191,3259,2.5289669036865234
1524663211.618273,3265,2.468552350997925
1524663233.7054126,3280,2.463047981262207
1524663256.523958,3295,2.4399027824401855
1524663278.6585534,3310,2.435166120529175
1524663300.5083296,3325,2.466176748275757
1524663323.2053237,3340,2.4861154556274414
1524663345.2907832,3355,2.4977211952209473
1524663359.221772,3361,2.534011125564575
1524663381.523532,3376,2.2985575199127197
1524663404.4700966,3391,2.3488500118255615
1524663426.551508,3406,2.382852077484131
1524663449.2621636,3421,2.465515613555908
1524663471.4608188,3436,2.3946220874786377
1524663493.327966,3451,2.323227643966675
1524663507.3280098,3457,2.4013025760650635
1524663529.3720608,3472,2.5543618202209473
1524663552.3795986,3487,2.4317240715026855
1524663574.4902143,3502,2.5327038764953613
1524663596.5308132,3517,2.3808460235595703
1524663619.30953,3532,2.435690402984619
1524663641.622225,3547,2.3356857299804688
1524663655.6130452,3553,2.4236505031585693
1524663677.7354145,3568,2.39656400680542
1524663700.8031228,3583,2.2505457401275635
1524663723.2357957,3598,2.4400880336761475
1524663745.3777783,3613,2.539323568344116
1524663768.3358424,3628,2.4695193767547607
1524663790.1512656,3643,2.404111623764038
1524663804.5963585,3649,2.35834002494812
1524663826.732681,3664,2.508654832839966
1524663849.5013664,3679,2.4277424812316895
1524663872.036271,3694,2.45371675491333
1524663893.9034061,3709,2.4006338119506836
1524663916.6808927,3724,2.400447130203247
1524663938.8364983,3739,2.3488929271698
1524663953.3246677,3745,2.198486089706421
1524663975.4998384,3760,2.254826068878174
1524663998.479384,3775,2.3692057132720947
1524664020.7623541,3790,2.4450652599334717
1524664043.623904,3805,2.4936814308166504
1524664065.7578812,3820,2.494009494781494
1524664087.4703777,3835,2.4458975791931152
1524664101.2667942,3841,2.407388925552368
1524664123.4386644,3856,2.4386372566223145
1524664146.1147745,3871,2.3850059509277344
1524664168.172461,3886,2.4275472164154053
1524664189.9851415,3901,2.430812358856201
1524664213.134683,3916,2.388507127761841
1524664235.2683985,3931,2.3482930660247803
1524664249.3561938,3937,2.346837043762207
1524664271.2230568,3952,2.352334976196289
1524664294.2594578,3967,2.3338096141815186
1524664316.45139,3982,2.399402379989624
1524664339.4044557,3997,2.338623285293579
1524664361.435582,4012,2.37064790725708
1524664383.113094,4027,2.419954538345337
1524664397.1086428,4033,2.3360435962677
1524664419.144732,4048,2.4065842628479004
1524664441.1341784,4063,2.3238065242767334
1524664464.0058727,4078,2.42401123046875
1524664486.010656,4093,2.4408583641052246
1524664507.8128405,4108,2.457355260848999
1524664530.4761648,4123,2.4527690410614014
1524664544.1513288,4129,2.32613468170166
1524664566.7285025,4144,2.262800693511963
1524664588.7939365,4159,2.28764009475708
1524664610.6977677,4174,2.377279758453369
1524664633.2671921,4189,2.32352876663208
1524664655.60155,4204,2.326418161392212
1524664678.4199765,4219,2.40554141998291
1524664692.2409124,4225,2.2441349029541016
1524664714.1202054,4240,2.302625894546509
1524664736.89364,4255,2.1877281665802
1524664758.9418561,4270,2.330087900161743
1524664781.997407,4285,2.327366352081299
1524664804.344037,4300,2.370774984359741
1524664827.0876408,4315,2.278294563293457
1524664840.4723604,4321,2.2521920204162598
1524664863.4312046,4336,2.3220109939575195
1524664885.6971486,4351,2.4226300716400146
1524664907.3629818,4366,2.3592870235443115
1524664929.5113227,4381,2.254208564758301
1524664951.9015398,4396,2.4490859508514404
1524664973.6499932,4411,2.43760085105896
1524664987.3323474,4417,2.4594082832336426
1524665009.4492898,4432,2.2796125411987305
1524665032.2691288,4447,2.222586154937744
1524665054.6428711,4462,2.2590975761413574
1524665076.5819283,4477,2.365868091583252
1524665098.8396008,4492,2.4094111919403076
1524665120.9819264,4507,2.377609968185425
1524665135.081096,4513,2.2195985317230225
1524665157.2930262,4528,2.3803162574768066
1524665179.247887,4543,2.3291406631469727
1524665201.1970093,4558,2.2584030628204346
1524665223.8806105,4573,2.3088111877441406
1524665246.4159586,4588,2.359581232070923
1524665268.3562775,4603,2.2901532649993896
1524665283.0386739,4609,2.3207035064697266
1524665304.9445515,4624,2.3537094593048096
1524665327.674456,4639,2.3664355278015137
1524665349.9246585,4654,2.3107402324676514
1524665371.6590695,4669,2.3350439071655273
1524665394.4392915,4684,2.472170114517212
1524665416.5650642,4699,2.3247666358947754
1524665430.904863,4705,2.4158124923706055
1524665452.8118482,4720,2.261427402496338
1524665474.924729,4735,2.1323108673095703
1524665496.8230042,4750,2.2231125831604004
1524665519.5427117,4765,2.3526926040649414
1524665541.224054,4780,2.2305078506469727
1524665563.130438,4795,2.149765968322754
1524665577.1381755,4801,2.428274393081665
1524665599.1514404,4816,2.1989476680755615
1524665620.9410276,4831,2.3449158668518066
1524665643.5551293,4846,2.2332324981689453
1524665678.568152,4861,2.289691209793091
1524665717.7878711,4876,2.347719430923462
1524665749.5329554,4891,2.1664321422576904
1524665789.5412793,4897,2.2457268238067627
1524665834.6439316,4912,2.2712817192077637
1524665859.7804255,4927,2.407698154449463
1524665885.7478898,4942,2.374591827392578
1524665912.2539957,4957,2.38434100151062
1524665939.053295,4972,2.3715946674346924
1524665967.0814078,4987,2.2658095359802246
1524665997.7511067,4993,2.3706657886505127
1524666024.942369,5008,2.303800106048584
1524666054.2485473,5023,2.241486072540283
1524666080.278445,5038,2.3543953895568848
1524666103.024821,5053,2.2809042930603027
